2017 ACS PUMS Code List - Field of Degree,,,,,,
,,,,,,
2017 PUMS code,2017 PUMS Field of Degree Description,2017 Internal Field of Degree Code,2017 Internal Corresponding Detailed Field of Degree,,,
1100,General Agriculture,1100,General Agriculture,,,
1101,Agriculture Production And Management,1101,Agriculture Production and Management,,,
1102,Agricultural Economics,1102,Agricultural Economics,,,
1103,Animal Sciences,1103,Animal Sciences,,,
1104,Food Science,1104,Food Science,,,
1105,Plant Science And Agronomy,1105,Plant Science and Agronomy,,,
1106,Soil Science,1106,Soil science,,,
1199,Miscellaneous Agriculture,1199,Miscellaneous Agriculture,,,
1301,Environmental Science,1301,Environmental Science,,,
1302,Forestry,1302,Forestry,,,
1303,Natural Resources Management,1303,Natural Resources Management,,,
1401,Architecture,1401,Architecture,,,
1501,Area Ethnic And Civilization Studies,1501,"Area, Ethnic, and Civilization Studies",,,
1901,Communications,1901,Communications,,,
1902,Journalism,1902,Journalism,,,
1903,Mass Media,1903,Mass Media,,,
1904,Advertising And Public Relations,1904,Advertising and Public Relations,,,
2001,Communication Technologies,2001,Communication Technologies,,,
2100,Computer And Information Systems,2100,Computer and Information Systems-General,,,
,,2103,Computer Systems Analysis,,,
,,2199,Miscellaneous Computer Sciences ,,,
2101,Computer Programming And Data Processing,2101,Computer Programming,,,
,,2104,Data Processing,,,
2102,Computer Science,2102,Computer Science,,,
2105,Information Sciences,2105,Information Sciences,,,
2106,Computer Administration Management And Security,2106,Computer Information Management and Security,,,
2107,Computer Networking And Telecommunications,2107,Computer Networking and Telecommunications,,,
2201,Cosmetology Services And Culinary Arts,2201,Cosmetology Services and Culinary Arts ,,,
2300,General Education,2300,General Education,,,
2301,Educational Administration And Supervision,2301,Educational Administration and Supervision,,,
2303,School Student Counseling,2303,School Student Counseling,,,
2304,Elementary Education,2304,Elementary Education,,,
2305,Mathematics Teacher Education,2305,Mathematics Teacher Education,,,
2306,Physical And Health Education Teaching,2306,Physical and Health Education Teaching,,,
2307,Early Childhood Education,2307,Early Childhood Education,,,
2308,Science And Computer Teacher Education,2302,Computer Teacher Education,,,
,,2308,Science Teacher Education,,,
2309,Secondary Teacher Education,2309,Secondary Teacher Education,,,
2310,Special Needs Education,2310,Special Needs Education,,,
2311,Social Science Or History Teacher Education,2311,Social Science or History Teacher Education,,,
2312,Teacher Education: Multiple Levels,2312,Teacher Education:  Multiple Levels,,,
2313,Language And Drama Education,2313,Language and Drama Education,,,
2314,Art And Music Education,2314,Art and Music Education,,,
2399,Miscellaneous Education,2399,Miscellaneous Education,,,
2400,General Engineering,2400,General Engineering,,,
2401,Aerospace Engineering,2401,Aerospace Engineering,,,
2402,Biological Engineering,2402,Biological Engineering,,,
2403,Architectural Engineering,2403,Architectural Engineering,,,
2404,Biomedical Engineering,2404,Biomedical Engineering,,,
2405,Chemical Engineering,2405,Chemical Engineering,,,
2406,Civil Engineering,2406,Civil Engineering,,,
2407,Computer Engineering,2407,Computer Engineering,,,
2408,Electrical Engineering,2408,Electrical Engineering,,,
2409,Engineering Mechanics Physics And Science,2409,"Engineering Mechanics, Physics, and Science",,,
2410,Environmental Engineering,2410,Environmental Engineering,,,
2411,Geological And Geophysical Engineering,2411,Geological and Geophysical Engineering,,,
2412,Industrial And Manufacturing Engineering,2412,Industrial and Manufacturing Engineering,,,
2413,Materials Engineering And Materials Science,2413,Materials Engineering and Materials Science,,,
2414,Mechanical Engineering,2414,Mechanical Engineering,,,
2415,Metallurgical Engineering,2415,Metallurgical Engineering,,,
2416,Mining And Mineral Engineering,2416,Mining and Mineral Engineering,,,
2417,Naval Architecture And Marine Engineering,2417,Naval Architecture and Marine Engineering,,,
2418,Nuclear Engineering,2418,Nuclear Engineering,,,
2419,Petroleum Engineering,2419,Petroleum Engineering,,,
2499,Miscellaneous Engineering,2420,Operations Research,,,
,,2499,Miscellaneous Engineering,,,
2500,Engineering Technologies,2500,Engineering Technologies,,,
2501,Engineering And Industrial Management,2501,Engineering and Industrial Management,,,
2502,Electrical Engineering Technology,2502,Electrical Engineering Technology,,,
2503,Industrial Production Technologies,2503,Industrial Production Technologies,,,
2504,Mechanical Engineering Related Technologies,2504,Mechanical Engineering Related Technologies,,,
2599,Miscellaneous Engineering Technologies,2599,Miscellaneous Engineering Technologies,,,
2601,Linguistics And Comparative Language And Literature,2601,Linguistics and Comparative Language and Literature,,,
2602,French German Latin And Other Common Foreign Language Studies,2602,"French, German, Latin and Other Common Foreign Language Studies",,,
2603,Other Foreign Languages,2603,Other Foreign Languages,,,
2901,Family And Consumer Sciences,2901,Family and Consumer Sciences,,,
3201,Court Reporting,3201,Court Reporting,,,
3202,Pre-Law And Legal Studies,3202,Pre-Law and Legal Studies,,,
3301,English Language And Literature,3301,English Language and Literature,,,
3302,Composition And Rhetoric,3302,Composition and Rhetoric,,,
3401,Liberal Arts,3401,Liberal Arts,,,
3402,Humanities,3402,Humanities,,,
3501,Library Science,3501,Library Science,,,
3600,Biology,3600,Biology,,,
3601,Biochemical Sciences,3601,Biochemical Sciences,,,
3602,Botany,3602,Botany,,,
3603,Molecular Biology,3603,Molecular Biology,,,
3604,Ecology,3604,Ecology,,,
3605,Genetics,3605,Genetics ,,,
3606,Microbiology,3606,Microbiology,,,
3607,Pharmacology,3607,Pharmacology,,,
3608,Physiology,3608,Physiology,,,
3609,Zoology,3609,Zoology,,,
3611,Neuroscience,3611,Neurosciences,,,
3699,Miscellaneous Biology,3610,Epidemiology,,,
,,3699,Miscellaneous Biology,,,
3700,Mathematics,3700,Mathematics,,,
,,3799,Miscellaneous Mathematics,,,
3701,Applied Mathematics,3701,Applied Mathematics,,,
3702,Statistics And Decision Science,3702,Statistics,,,
,,3705,Decision Science,,,
3801,Military Technologies,3801,Military Technologies,,,
4000,Multi/Interdisciplinary Studies,4000,Multi/Interdisciplinary Studies,,,
4001,Intercultural And International Studies,4001,Intercultural and International Studies,,,
4002,Nutrition Sciences,4002,Nutrition Sciences,,,
4005,Mathematics And Computer Science,4005,Mathematics and Computer Science,,,
4006,Cognitive Science And Biopsychology,4006,Cognitive Science and Biopsychology,,,
4007,Interdisciplinary Social Sciences,4007,Interdisciplinary Social Sciences,,,
4101,Physical Fitness Parks Recreation And Leisure,4101,"Physical Fitness, Parks, Recreation, and Leisure",,,
4801,Philosophy And Religious Studies,4801,Philosophy and Religious Studies,,,
4901,Theology And Religious Vocations,4901,Theology and Religious Vocations,,,
5000,Physical Sciences,5000,Physical Sciences,,,
,,5099,Miscellaneous Physical Sciences,,,
5001,Astronomy And Astrophysics,5001,Astronomy and Astrophysics,,,
5002,Atmospheric Sciences And Meteorology,5002,Atmospheric Sciences and Meteorology,,,
5003,Chemistry,5003,Chemistry,,,
5004,Geology And Earth Science,5004,Geology and Earth Science,,,
5005,Geosciences,5005,Geosciences,,,
5006,Oceanography,5006,Oceanography,,,
5007,Physics,5007,Physics,,,
5008,Materials Science,5008,Materials Science,,,
5098,Multi-Disciplinary Or General Science,4004,Accounting and Computer Science,,,
,,5098,Multidisciplinary or General Science,,,
5102,"Nuclear, Industrial Radiology, And Biological Technologies",5101,Applied Biotechnology,,,
,,5102,Nuclear and Industrial Radiology Technologies,,,
5200,Psychology,5200,Psychology ,,,
5201,Educational Psychology,5201,Educational Psychology,,,
5202,Clinical Psychology,5202,Clinical Psychology,,,
5203,Counseling Psychology,5203,Counseling Psychology,,,
5205,Industrial And Organizational Psychology,5205,Industrial and Organizational Psychology,,,
5206,Social Psychology,5206,Social Psychology,,,
5299,Miscellaneous Psychology,5204,Experimental Psychology,,,
,,5299,Miscellaneous Psychology,,,
5301,Criminal Justice And Fire Protection,5301,Criminal Justice and Fire Protection,,,
5401,Public Administration,5401,Public Administration,,,
5402,Public Policy,5402,Public Policy,,,
5403,Human Services And Community Organization,5403,Human Services and Community Organization,,,
5404,Social Work,5404,Social Work,,,
5500,General Social Sciences,5500,General Social Sciences ,,,
5501,Economics,5501,Economics,,,
5502,Anthropology And Archeology,5502,Anthropology and Archeology,,,
5503,Criminology,5503,Criminology,,,
5504,Geography,5504,Geography,,,
5505,International Relations,5505,International Relations,,,
5506,Political Science And Government,5506,Political Science and Government,,,
5507,Sociology,5507,Sociology,,,
5599,Miscellaneous Social Sciences,5599,Miscellaneous Social Sciences,,,
,,6401,History and Philosophy of Science and Technology,,,
5601,Construction Services,5601,Construction Services,,,
5701,"Electrical, Mechanical, And Precision Technologies And Production",5701,Electrical and Mechanic Repairs and Technologies,,,
,,5801,Precision Production,,,
5901,Transportation Sciences And Technologies,5901,Transportation Sciences and Technologies ,,,
6000,Fine Arts,6000,Fine Arts,,,
6001,Drama And Theater Arts,6001,Drama and Theater Arts,,,
6002,Music,6002,Music,,,
6003,Visual And Performing Arts,6003,Visual and Performing Arts,,,
6004,Commercial Art And Graphic Design,6004,Commercial Art and Graphic Design,,,
6005,Film Video And Photographic Arts,6005,"Film, Video and Photographic Arts",,,
6006,Art History And Criticism,6006,Art History and Criticism,,,
6007,Studio Arts,6007,Studio Arts,,,
6099,Miscellaneous Fine Arts,6008,Video Game Design and Development,,,
,,6099,Miscellaneous Fine Arts,,,
6100,General Medical And Health Services,6100,General Medical and Health Services,,,
6102,Communication Disorders Sciences And Services,6102,Communication Disorders Sciences and Services,,,
6103,Health And Medical Administrative Services,6103,Health and Medical Administrative Services,,,
6104,Medical Assisting Services,6104,Medical Assisting Services,,,
6105,Medical Technologies Technicians,6105,Medical Technologies Technicians,,,
6106,Health And Medical Preparatory Programs,6106,Health and Medical Preparatory Programs,,,
6107,Nursing,6107,Nursing,,,
6108,Pharmacy Pharmaceutical Sciences And Administration,6108,"Pharmacy, Pharmaceutical Sciences, and Administration",,,
6109,Treatment Therapy Professions,6109,Treatment Therapy Professions,,,
6110,Community And Public Health,6110,Community and Public Health,,,
6199,Miscellaneous Health Medical Professions,6111,Energy and Biologically Based Therapies,,,
,,6199,Miscellaneous Health Medical Professions,,,
6200,General Business,6200,General Business,,,
6201,Accounting,6201,Accounting,,,
6202,Actuarial Science,6202,Actuarial Science,,,
6203,Business Management And Administration,6203,Business Management and Administration,,,
6204,Operations Logistics And E-Commerce,6204,"Operations, Logistics and E-Commerce",,,
6205,Business Economics,6205,Business Economics,,,
6206,Marketing And Marketing Research,6206,Marketing,,,
,,6208,Marketing Research,,,
6207,Finance,6207,Finance,,,
6209,Human Resources And Personnel Management,6209,Human Resources and Personnel Management,,,
6210,International Business,6210,International Business,,,
6211,Hospitality Management,6211,Hospitality Management,,,
6212,Management Information Systems And Statistics,6212,Management Information Systems and Statistics,,,
6299,Miscellaneous Business & Medical Administration,6101,Medical Office Assistance and Administration,,,
,,6299,Miscellaneous Business,,,
6402,History,6402,History ,,,
6403,United States History,6403,United States History,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,